gene	condition	cluster_v2
GALNT10	PB+RA upregulated cluster	4
GALNT7	PB+RA upregulated cluster	4
GALR1	PB+RA upregulated cluster	4
GALR3	PB+RA upregulated cluster	4
GAS2	PB+RA upregulated cluster	4
GAS7	PB+RA upregulated cluster	4
GATA5	PB+RA upregulated cluster	4
GATA6	PB+RA upregulated cluster	4
GATA6-AS1	PB+RA upregulated cluster	4
GBP1	PB+RA upregulated cluster	4
GBP3	PB+RA upregulated cluster	4
GBX2	PB+RA upregulated cluster	4
GCC2	PB+RA upregulated cluster	4
GDF6	PB+RA upregulated cluster	4
GDF7	PB+RA upregulated cluster	4
GDNF	PB+RA upregulated cluster	4
GDPD3	PB+RA upregulated cluster	4
GDPGP1	PB+RA upregulated cluster	4
GEM	PB+RA upregulated cluster	4
GFPT2	PB+RA upregulated cluster	4
GGACT	PB+RA upregulated cluster	4
GGN	PB+RA upregulated cluster	4
GGT7	PB+RA upregulated cluster	4
GHR	PB+RA upregulated cluster	4
GIP	PB+RA upregulated cluster	4
GJA5	PB+RA upregulated cluster	4
GJC3	PB+RA upregulated cluster	4
GLIDR	PB+RA upregulated cluster	4
GLIPR1	PB+RA upregulated cluster	4
GLIS2	PB+RA upregulated cluster	4
GLRA2	PB+RA upregulated cluster	4
GLS2	PB+RA upregulated cluster	4
GLUD1P2	PB+RA upregulated cluster	4
GLYCTK-AS1	PB+RA upregulated cluster	4
GMDS-DT	PB+RA upregulated cluster	4
GMPR	PB+RA upregulated cluster	4
GNA14	PB+RA upregulated cluster	4
GNAQ	PB+RA upregulated cluster	4
GNAQP1	PB+RA upregulated cluster	4
GNG12-AS1	PB+RA upregulated cluster	4
GNG2	PB+RA upregulated cluster	4
GNG3	PB+RA upregulated cluster	4
GNG8	PB+RA upregulated cluster	4
GNPTAB	PB+RA upregulated cluster	4
GOLGA2	PB+RA upregulated cluster	4
GOLGA6L10	PB+RA upregulated cluster	4
GOLGA6L3	PB+RA upregulated cluster	4
GOLGA6L5P	PB+RA upregulated cluster	4
GOLGA7B	PB+RA upregulated cluster	4
GOLGB1	PB+RA upregulated cluster	4
GPATCH2L	PB+RA upregulated cluster	4
GPC2	PB+RA upregulated cluster	4
GPC5	PB+RA upregulated cluster	4
GPLD1	PB+RA upregulated cluster	4
GPNMB	PB+RA upregulated cluster	4
GPR137B	PB+RA upregulated cluster	4
GPR19	PB+RA upregulated cluster	4
GPRC5C	PB+RA upregulated cluster	4
GPX8	PB+RA upregulated cluster	4
GRB10	PB+RA upregulated cluster	4
GRK5	PB+RA upregulated cluster	4
GRM4	PB+RA upregulated cluster	4
GRM7	PB+RA upregulated cluster	4
GSDME	PB+RA upregulated cluster	4
GSN	PB+RA upregulated cluster	4
GSPT2	PB+RA upregulated cluster	4
GTF2IP4	PB+RA upregulated cluster	4
GTF2IRD1P1	PB+RA upregulated cluster	4
GTF2IRD2	PB+RA upregulated cluster	4
GTF2IRD2B	PB+RA upregulated cluster	4
GTPBP2	PB+RA upregulated cluster	4
GUCA1B	PB+RA upregulated cluster	4
H3C6	PB+RA upregulated cluster	4
H4C5	PB+RA upregulated cluster	4
HAGLR	PB+RA upregulated cluster	4
HAP1	PB+RA upregulated cluster	4
HAPLN4	PB+RA upregulated cluster	4
HARBI1	PB+RA upregulated cluster	4
HAS1	PB+RA upregulated cluster	4
HBEGF	PB+RA upregulated cluster	4
HBP1	PB+RA upregulated cluster	4
HEBP2	PB+RA upregulated cluster	4
HECTD4	PB+RA upregulated cluster	4
HERC4	PB+RA upregulated cluster	4
HERC6	PB+RA upregulated cluster	4
HERPUD1	PB+RA upregulated cluster	4
HES1	PB+RA upregulated cluster	4
HGFAC	PB+RA upregulated cluster	4
HGSNAT	PB+RA upregulated cluster	4
HIP1R	PB+RA upregulated cluster	4
HIPK2	PB+RA upregulated cluster	4
HLA-B	PB+RA upregulated cluster	4
HLA-DQA1	PB+RA upregulated cluster	4
HLA-DQB1	PB+RA upregulated cluster	4
HLX-AS1	PB+RA upregulated cluster	4
HMGCL	PB+RA upregulated cluster	4
HMGN1P13	PB+RA upregulated cluster	4
HMX3	PB+RA upregulated cluster	4
HNMT	PB+RA upregulated cluster	4
HOXA11	PB+RA upregulated cluster	4
HOXC5	PB+RA upregulated cluster	4
HOXC6	PB+RA upregulated cluster	4
HOXC8	PB+RA upregulated cluster	4
HOXD1	PB+RA upregulated cluster	4
HOXD10	PB+RA upregulated cluster	4
HOXD12	PB+RA upregulated cluster	4
HOXD9	PB+RA upregulated cluster	4
HPCA	PB+RA upregulated cluster	4
HPX	PB+RA upregulated cluster	4
HRH1	PB+RA upregulated cluster	4
HS6ST2	PB+RA upregulated cluster	4
HSBP1L1	PB+RA upregulated cluster	4
HSD11B1L	PB+RA upregulated cluster	4
HSD17B2	PB+RA upregulated cluster	4
HSPB8	PB+RA upregulated cluster	4
HTN1	PB+RA upregulated cluster	4
HTN3	PB+RA upregulated cluster	4
HTRA1	PB+RA upregulated cluster	4
HYKK	PB+RA upregulated cluster	4
ICAM1	PB+RA upregulated cluster	4
ID1	PB+RA upregulated cluster	4
IER5L	PB+RA upregulated cluster	4
IFFO2	PB+RA upregulated cluster	4
IFI27	PB+RA upregulated cluster	4
IFI27L2	PB+RA upregulated cluster	4
IFIT2	PB+RA upregulated cluster	4
IFIT3	PB+RA upregulated cluster	4
IGDCC4	PB+RA upregulated cluster	4
IGF2R	PB+RA upregulated cluster	4
IGFBP3	PB+RA upregulated cluster	4
IGSF1	PB+RA upregulated cluster	4
IGSF10	PB+RA upregulated cluster	4
IL10RB	PB+RA upregulated cluster	4
IL10RB-DT	PB+RA upregulated cluster	4
IL1RAPL1	PB+RA upregulated cluster	4
IL23A	PB+RA upregulated cluster	4
IL32	PB+RA upregulated cluster	4
IL33	PB+RA upregulated cluster	4
IL4R	PB+RA upregulated cluster	4
IL6ST	PB+RA upregulated cluster	4
IL7R	PB+RA upregulated cluster	4
IMPG2	PB+RA upregulated cluster	4
INS	PB+RA upregulated cluster	4
INSC	PB+RA upregulated cluster	4
INSYN2B	PB+RA upregulated cluster	4
IQCG	PB+RA upregulated cluster	4
IQCN	PB+RA upregulated cluster	4
IQSEC2	PB+RA upregulated cluster	4
IQUB	PB+RA upregulated cluster	4
IRAG1-AS1	PB+RA upregulated cluster	4
IRF1	PB+RA upregulated cluster	4
IRF9	PB+RA upregulated cluster	4
